t,y_real,y_pred
0.4833333,-2.101308,-1.7250156
0.5,-2.180644,-1.7636404
0.0,-0.3996583,-0.90192914
0.01666667,-0.4255772,-0.90699863
0.03333333,-0.4256498,-0.9126687
0.05,-0.4256997,-0.9191561
0.06666667,-0.4257331,-0.9267726
0.08333333,-0.4883006,-0.9359569
0.1,-0.4885038,-0.94730467
0.1166667,-0.4886439,-0.96158814
0.1333333,-0.6207316,-0.979738
0.15,-0.6207316,-1.0027493
0.1666667,-0.6207316,-1.0314661
0.1833333,-0.6207316,-1.0662383
0.2,-0.7660525,-1.1065472
0.2166667,-0.7660525,-1.150825
0.2333333,-0.7660525,-1.1967041
0.25,-0.7660525,-1.2416862
0.2666667,-0.9562064,-1.2838793
0.2833333,-0.9562151,-1.3224114
0.3,-1.157182,-1.3573998
0.3166667,-1.157182,-1.3896406
0.3333333,-1.157182,-1.4202487
0.35,-1.157182,-1.4503653
0.3666667,-1.2383,-1.4809552
0.3833333,-1.23862,-1.5126745
0.4,-1.240078,-1.5458004
0.4166667,-1.406083,-1.5802355
0.4333333,-1.668897,-1.615622
0.45,-1.678173,-1.6515672
0.4666667,-1.678173,-1.6879251
0.4833333,-1.979637,-1.7250156
0.5,-1.979637,-1.7636404
0.5166667,-1.979637,-1.8047642
0.5333333,-1.979637,-1.8488529
0.0,-0.5071116,-0.90192914
0.01666667,-0.5068213,-0.90699863
0.03333333,-0.5279263,-0.9126687
0.05,-0.5281631,-0.9191561
0.06666667,-0.5282727,-0.9267726
0.08333333,-0.5283609,-0.9359569
0.1,-0.5831813,-0.94730467
0.1166667,-0.5831825,-0.96158814
0.1333333,-0.5832184,-0.979738
0.15,-0.714765,-1.0027493
0.1666667,-0.714765,-1.0314661
0.1833333,-0.714765,-1.0662383
0.2,-0.714765,-1.1065472
0.2166667,-0.865587,-1.150825
0.2333333,-0.8654859,-1.1967041
0.25,-0.8654968,-1.2416862
0.2666667,-0.8654998,-1.2838793
0.2833333,-1.036081,-1.3224114
0.3,-1.036081,-1.3573998
0.3166667,-1.036081,-1.3896406
0.3333333,-1.250292,-1.4202487
0.35,-1.250099,-1.4503653
0.3666667,-1.250406,-1.4809552
0.3833333,-1.477618,-1.5126745
0.4,-1.477618,-1.5458004
0.4166667,-1.477618,-1.5802355
0.4333333,-1.477618,-1.615622
0.45,-1.742103,-1.6515672
0.4666667,-1.742103,-1.6879251
0.4833333,-1.742103,-1.7250156
0.5,-2.032818,-1.7636404
0.5166667,-2.032818,-1.8047642
0.5333333,-2.032818,-1.8488529
0.0,-0.5631716,-0.90192914
0.01666667,-0.5630479,-0.90699863
0.03333333,-0.5630904,-0.9126687
0.05,-0.5631145,-0.9191561
0.06666667,-0.5790807,-0.9267726
0.08333333,-0.5788762,-0.9359569
0.1,-0.5787818,-0.94730467
0.1166667,-0.5787217,-0.96158814
0.1333333,-0.578692,-0.979738
0.15,-0.6273661,-1.0027493
0.1666667,-0.6273822,-1.0314661
0.1833333,-0.6272894,-1.0662383
0.2,-0.6272284,-1.1065472
0.2166667,-0.6271383,-1.150825
0.2333333,-0.7552681,-1.1967041
0.25,-0.7552681,-1.2416862
0.2666667,-0.7552681,-1.2838793
0.2833333,-0.7552681,-1.3224114
0.3,-0.7552681,-1.3573998
0.3166667,-0.8847815,-1.3896406
0.3333333,-0.8847815,-1.4202487
0.35,-0.8847815,-1.4503653
0.3666667,-0.8847815,-1.4809552
0.3833333,-0.8847815,-1.5126745
0.4,-0.8847815,-1.5458004
0.4166667,-0.9704202,-1.5802355
0.4333333,-0.9703059,-1.615622
0.45,-0.9702576,-1.6515672
0.4666667,-0.9701771,-1.6879251
0.4833333,-0.9701009,-1.7250156
0.5,-1.262299,-1.7636404
0.5166667,-1.262299,-1.8047642
0.5333333,-1.26222,-1.8488529
0.55,-1.262377,-1.8950821
0.5666667,-1.262345,-1.9409482
0.5833333,-1.496526,-1.9827969
0.6,-1.496526,-2.0171027
0.6166667,-1.496526,-2.041637
0.6333333,-1.496526,-2.0558732
0.65,-1.496526,-2.060741
0.6666667,-1.758308,-2.0581748
0.6833333,-1.758308,-2.050661
0.7,-1.758308,-2.0407615
0.7166667,-1.758308,-2.030644
0.7333333,-1.758308,-2.0217643
0.75,-1.818271,-2.014823
0.7666667,-1.820419,-2.0099368
0.7833333,-1.79197,-2.0068817
0.8,-2.050402,-2.0052974
0.8166667,-2.050402,-2.0048122
0.8333333,-2.050402,-2.0050998
0.85,-2.31494,-2.0058932
0.8666667,-2.31494,-2.0069814
0.8833333,-2.31494,-2.0081892
0.9,-2.31494,-2.0093613
0.0,-0.1416653,-0.90192914
0.01666667,-0.1416744,-0.90699863
0.03333333,-0.1416694,-0.9126687
0.05,-0.1700725,-0.9191561
0.06666667,-0.1700467,-0.9267726
0.08333333,-0.1700344,-0.9359569
0.1,-0.1700073,-0.94730467
0.1166667,-0.2284926,-0.96158814
0.1333333,-0.2286035,-0.979738
0.15,-0.2286996,-1.0027493
0.1666667,-0.2287751,-1.0314661
0.1833333,-0.2288021,-1.0662383
0.2,-0.2288171,-1.1065472
0.2166667,-0.3860171,-1.150825
0.2333333,-0.3860171,-1.1967041
0.25,-0.3860171,-1.2416862
0.2666667,-0.3860171,-1.2838793
0.2833333,-0.3860171,-1.3224114
0.3,-0.5237973,-1.3573998
0.3166667,-0.5237973,-1.3896406
0.3333333,-0.5237973,-1.4202487
0.35,-0.5237973,-1.4503653
0.3666667,-0.5237973,-1.4809552
0.3833333,-0.700156,-1.5126745
0.4,-0.700156,-1.5458004
0.4166667,-0.700156,-1.5802355
0.4333333,-0.700156,-1.615622
0.45,-0.700156,-1.6515672
0.4666667,-0.700156,-1.6879251
0.4833333,-0.9178487,-1.7250156
0.5,-0.9178487,-1.7636404
0.5166667,-0.9178487,-1.8047642
0.5333333,-0.9178487,-1.8488529
0.55,-0.9178487,-1.8950821
0.5666667,-1.001658,-1.9409482
0.5833333,-1.00178,-1.9827969
0.6,-1.002501,-2.0171027
0.6166667,-1.179631,-2.041637
0.6333333,-1.179631,-2.0558732
0.65,-1.441414,-2.060741
0.6666667,-1.441414,-2.0581748
0.6833333,-1.441414,-2.050661
0.7,-1.441414,-2.0407615
0.7166667,-1.441414,-2.030644
0.7333333,-1.519806,-2.0217643
0.75,-1.517631,-2.014823
0.7666667,-1.51924,-2.0099368
0.7833333,-1.74453,-2.0068817
0.8,-1.74453,-2.0052974
0.8166667,-2.072447,-2.0048122
