file,n,dt,g_newton,rmse_ay_newton
242.txt,42,0.016666699999999923,-9.01248502800098,522.6606275951783
243.txt,39,0.01666669999999995,-9.314036271234082,452.5038453329942
244.txt,42,0.016666699999999923,-9.208843735182342,462.01797680784875
245.txt,33,0.01666669999999998,-11.33517956852247,320.9788931010365
246.txt,39,0.01666669999999995,-8.97563275231394,409.4602727061081
247.txt,37,0.01666669999999995,-8.610448789068885,404.90570490649196
248.txt,30,0.01666669999999998,-8.913991954109942,380.82666682520875
249.txt,30,0.01666669999999998,-6.9969998993565214,346.35812392890534
250.txt,21,0.016666670000000005,-10.01333431926563,248.11265816964982
251.txt,30,0.01666669999999998,-9.209045380387838,304.39684784900714
252.txt,31,0.01666669999999998,-8.720440548662253,296.1840920574946
253.txt,27,0.016666684999999994,-9.799954429069148,228.25612312047977
254.txt,32,0.01666669999999998,-7.612035362051485,343.65415217348544
255.txt,38,0.01666669999999998,-9.432846337007932,456.69769676617085
256.txt,40,0.01666669999999998,-9.42571725784376,481.49150421776244
257.txt,42,0.016666699999999923,-9.998883379214261,459.68524331366086
258.txt,34,0.01666669999999998,-8.559908068998382,406.7409143555217
259.txt,40,0.01666669999999998,-10.704482661658405,400.72584253705384
260.txt,36,0.01666669999999998,-10.777006412467234,428.2358973819085
261.txt,27,0.016666684999999994,-10.464020996318428,241.55506554380543
262.txt,18,0.01666667,-9.61605525726487,254.3620758496994
263.txt,33,0.01666669999999998,-7.3296930022210125,303.07326676606783
264.txt,30,0.01666669999999998,-8.77018106839408,341.3159687455615
265.txt,26,0.01666669999999998,-10.491761680171535,283.6926256841177
266.txt,38,0.01666669999999998,-8.418160835212436,349.6429713531942
267.txt,40,0.01666669999999998,-10.53505716834035,505.39216727666997
268.txt,40,0.01666669999999998,-9.099169216500872,451.0366686218012
269.txt,39,0.01666669999999995,-8.33815774097691,426.5272148328984
270.txt,18,0.01666667,-8.31009437850369,252.24464290069963
271.txt,23,0.016666684999999994,-8.620666370218244,485.4706142383523
272.txt,37,0.01666669999999995,-10.353054034003437,374.1524821893094
273.txt,38,0.01666669999999998,-8.686536036446967,484.4009408998626
