file,n,dt,win_sg,rmse_vy_sg,rmse_ay_sg
037.txt,60,0.016666699999999923,5,1.12840370710679,0.0006308968520486202
038.txt,55,0.016666699999999923,5,1.1152702669908727,0.0006667230278210872
039.txt,44,0.016666699999999923,5,0.7590145621858858,0.0006747562744848749
040.txt,49,0.01666669999999995,5,0.8487641368293299,0.0005872822362663741
041.txt,36,0.01666669999999998,5,0.5702004010314242,0.0006136806292330938
042.txt,50,0.016666699999999923,5,0.8719210199545312,0.0007158039870690969
043.txt,58,0.016666699999999923,5,0.7018677953929484,0.0004977670888671104
044.txt,46,0.016666699999999923,5,0.7277426966833764,0.0006171316762690589
045.txt,60,0.016666699999999923,5,1.1397142131933138,0.0008358590538244214
046.txt,46,0.016666699999999923,5,0.7350819257729798,0.0009395900693264306
047.txt,45,0.016666699999999923,5,0.6827522610262811,0.0007539517287399768
048.txt,44,0.016666699999999923,5,0.653032373007623,0.0006911813274104324
049.txt,38,0.01666669999999998,5,0.5192763890711349,0.0004904402248464346
050.txt,45,0.016666699999999923,5,0.8117678514063885,0.0005636258704089721
051.txt,44,0.016666699999999923,5,0.695764661570429,0.0007754444196744148
052.txt,57,0.016666699999999923,5,0.7399871950129565,0.0005300877719794413
053.txt,41,0.01666669999999995,5,0.5829849450943816,0.0006492963586184952
054.txt,62,0.016666699999999923,5,0.9383406266475913,0.000667389096391178
055.txt,54,0.016666699999999923,5,0.8881122036363683,0.0005905194320655546
056.txt,39,0.01666669999999995,5,0.6267718479191351,0.0007040949430040742
057.txt,44,0.016666699999999923,5,0.6610115427287662,0.0006416312356456231
058.txt,47,0.01666669999999995,5,0.753582732043747,0.0005405029727716993
059.txt,40,0.01666669999999998,5,0.5086805394920394,0.0004591548712963044
060.txt,58,0.016666699999999923,5,0.8714904028345303,0.0006664376898681556
061.txt,55,0.016666699999999923,5,0.904075300089684,0.0006631272507913494
062.txt,61,0.016666699999999923,5,1.084839256863975,0.0006140310500964706
063.txt,70,0.016666699999999923,5,1.0362090332885503,0.0007404839700192766
064.txt,30,0.01666669999999998,5,0.3916983068297564,0.0006007409114824105
065.txt,29,0.01666669999999998,5,0.49609501362984415,0.0005232003514594933
066.txt,36,0.01666669999999998,5,0.7607334583224862,0.0005941163264997095
067.txt,23,0.016666684999999994,5,0.49044629287087305,0.0004994824931057198
068.txt,40,0.01666669999999998,5,0.6268462093968022,0.00048752396875547294
069.txt,38,0.01666669999999998,5,0.7652217546497768,0.0004309903560250081
070.txt,31,0.01666669999999998,5,0.43465109698458143,0.0005887594410075509
071.txt,36,0.01666669999999998,5,0.5320368469543483,0.0005230698287777571
072.txt,32,0.01666669999999998,5,0.4081839233295785,0.0005714718181674819
073.txt,32,0.01666669999999998,5,0.39986203419980454,0.0005132271312248974
074.txt,36,0.01666669999999998,5,0.4069132852471814,0.0004162178886518669
075.txt,20,0.01666667000000001,5,0.34819597544591363,0.0005193233448932908
076.txt,36,0.016666999999999987,5,0.5075624462524292,0.032833906378460724
077.txt,21,0.016666670000000005,5,0.38276382559511674,0.0006162557584327074
078.txt,20,0.01666667000000001,5,0.2145470441076555,0.000685629428444167
079.txt,34,0.01666669999999998,5,0.8575047518943476,0.0005592289012464026
080.txt,37,0.01666669999999995,5,0.4960000525535895,0.0005481786681239845
081.txt,24,0.01666667000000001,5,0.2431163629675677,0.0006058150859440425
082.txt,36,0.01666669999999998,5,0.3881954860627986,0.00046859857003605257
083.txt,24,0.01666667000000001,5,0.23827128638620748,0.0005337592523290446
084.txt,35,0.01666669999999998,5,0.6069315390772521,0.0005458174049625861
085.txt,35,0.01666669999999998,5,0.44294224909651225,0.0004766540889899787
086.txt,26,0.01666669999999998,5,0.3222154912462433,0.0006058169433054705
087.txt,23,0.016666684999999994,5,0.278408721509826,0.00043733427943034144
088.txt,34,0.01666669999999998,5,0.4947755922133116,0.00044307508946302853
089.txt,33,0.01666669999999998,5,0.29115891332868554,0.0005335734381173566
090.txt,41,0.01666669999999995,5,0.611706720603194,0.0004860824392521923
091.txt,28,0.01666669999999998,5,0.2579332492628467,0.0005859906020027419
092.txt,24,0.01666667000000001,5,0.43281260246662534,0.0004512552296950241
093.txt,24,0.01666667000000001,5,0.31657003887111695,0.0005434009628823825
094.txt,28,0.01666669999999998,5,0.3660774175707277,0.000532485259752042
095.txt,20,0.01666667000000001,5,0.24459391446005097,0.0006606969619465334
096.txt,35,0.01666669999999998,5,1.1551844868390728,15.365594932284289
097.txt,22,0.01666667000000001,5,0.36981143352024937,0.0005180218591171387
098.txt,24,0.01666667000000001,5,0.27925425187552966,0.0007694882835132883
